province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Bắc Ninh,Đồng bằng sông Hồng,2025-12-06,20.02,23.78,16.759999999999998,20.42,24.86,16.98,0.0,0.0,0.0,0.0,72.4,15.64,27.08,11.036,1019.08,79.0,14.76,0.0,2.462,21.2017,106.1543,5.558,10.898,12,49,3,96,1970-01-21 10:16:41.940,1970-01-21 10:17:21.168,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-07,21.44,25.54,18.74,23.36,27.28,20.34,1.2,1.2,0.0,7.6,79.8,10.54,21.24,13.058000000000002,1018.68,56.6,17.6,0.0,2.536,21.2017,106.1543,8.878,10.89,12,49,51,91,1970-01-21 10:18:08.388,1970-01-21 10:18:47.580,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-08,21.04,25.4,17.82,21.880000000000003,26.44,17.5,0.4399999999999999,0.4399999999999999,0.0,1.8,73.4,15.38,30.02,13.94,1020.22,41.8,15.72,0.0,2.764,21.2017,106.1543,9.96,10.882,12,50,51,23,1970-01-21 10:19:34.812,1970-01-21 10:20:13.992,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-09,20.14,24.98,15.62,21.06,26.139999999999997,16.16,0.08,0.08,0.0,0.4,74.8,11.52,21.82,13.16,1018.98,38.6,15.14,0.0,2.59,21.2017,106.1543,9.948,10.878,12,50,3,60,1970-01-21 10:21:01.260,1970-01-21 10:21:40.416,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-10,20.78,26.3,15.0,22.04,27.619999999999997,15.76,0.0,0.0,0.0,0.0,73.8,11.46,19.82,14.774,1017.9,38.8,15.48,0.0,2.948,21.2017,106.1543,9.568,10.872,12,50,3,90,1970-01-21 10:22:27.696,1970-01-21 10:23:06.828,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-11,21.06,23.24,19.24,22.84,24.46,20.839999999999996,0.04,0.04,0.0,0.4,76.8,8.68,19.02,5.702,1017.98,95.4,16.8,0.0,1.37,21.2017,106.1543,0.424,10.868,12,50,3,3,1970-01-21 10:23:54.132,1970-01-21 10:24:33.252,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-12,21.46,23.92,19.44,23.96,26.1,21.96,1.7600000000000002,1.7600000000000002,0.0,3.0,84.8,10.92,20.619999999999997,6.188000000000001,1015.58,90.4,18.72,0.0,1.336,21.2017,106.1543,0.536,10.862,12,50,51,137,1970-01-21 10:25:20.568,1970-01-21 10:25:59.664,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-13,20.46,22.66,17.54,21.2,25.119999999999997,15.22,23.06,23.06,0.0,13.2,83.4,27.4,53.0,3.862,1018.94,98.6,17.380000000000003,0.0,1.508,21.2017,106.1543,0.568,10.858,12,50,63,42,1970-01-21 10:26:46.992,1970-01-21 10:27:26.088,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-14,17.72,20.98,15.26,15.74,19.5,12.7,0.0,0.0,0.0,0.0,56.4,18.380000000000003,33.32,11.888,1022.44,62.6,8.780000000000001,0.0,3.114,21.2017,106.1543,8.156,10.852,12,50,3,33,1970-01-21 10:28:13.428,1970-01-21 10:28:52.500,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-15,17.919999999999998,22.9,13.580000000000002,17.860000000000003,23.1,12.86,0.0,0.0,0.0,0.0,71.2,10.2,19.44,14.362,1019.62,31.6,12.32,0.0,2.706,21.2017,106.1543,9.55,10.852,12,51,3,105,1970-01-21 10:29:39.864,1970-01-21 10:30:18.936,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-16,19.380000000000003,22.54,15.76,20.52,24.04,16.16,0.02,0.02,0.0,0.2,77.4,7.159999999999999,15.7,7.476000000000001,1018.46,92.6,15.22,0.0,1.54,21.2017,106.1543,1.434,10.848,12,51,3,17,1970-01-21 10:31:06.300,1970-01-21 10:31:45.348,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-17,20.68,24.36,17.86,21.880000000000003,25.18,18.94,1.48,1.48,0.0,9.4,80.0,12.2,25.56,11.56,1020.42,62.0,16.86,0.0,2.3259999999999996,21.2017,106.1543,9.208,10.848,12,51,51,12,1970-01-21 10:32:32.736,1970-01-21 10:33:11.772,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-18,20.02,24.96,16.06,20.76,26.6,16.3,0.0,0.0,0.0,0.0,74.4,10.4,20.68,14.938,1018.84,11.4,15.02,0.0,2.842,21.2017,106.1543,10.0,10.842,12,51,1,28,1970-01-21 10:33:59.160,1970-01-21 10:34:38.208,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-19,19.9,25.76,14.78,21.14,26.46,15.64,0.0,0.0,0.0,0.0,80.8,12.72,23.54,14.278,1014.94,17.2,16.06,0.0,2.754,21.2017,106.1543,9.872,10.842,12,51,3,141,1970-01-21 10:35:25.596,1970-01-21 10:36:04.632,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-20,21.34,25.3,18.52,23.68,27.3,20.8,1.06,1.06,0.0,7.0,85.0,9.06,19.0,12.024,1015.64,53.8,18.46,0.0,2.308,21.2017,106.1543,8.868,10.842,12,51,51,97,1970-01-21 10:36:52.020,1970-01-21 10:37:31.068,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-21,21.08,25.639999999999997,18.24,23.16,27.76,19.44,1.12,1.12,0.0,4.2,84.0,11.72,23.7,12.692,1017.72,38.6,18.08,0.0,2.402,21.2017,106.1543,9.792,10.842,12,51,51,2,1970-01-21 10:38:18.468,1970-01-21 10:38:57.492,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-22,21.14,25.34,18.08,22.56,25.46,20.28,1.48,1.48,0.0,7.6,84.0,18.16,34.7,12.654,1015.52,36.0,18.06,0.0,2.602,21.2017,106.1543,9.452,10.842,12,52,53,125,1970-01-21 10:39:44.892,1970-01-21 10:40:23.928,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-23,21.92,26.28,19.58,23.74,27.72,21.22,4.1,4.1,0.0,8.2,86.0,16.72,32.260000000000005,8.216,1014.04,67.8,19.28,0.0,1.906,21.2017,106.1543,5.774,10.842,12,52,51,142,1970-01-21 10:41:11.328,1970-01-21 10:41:50.352,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-24,21.84,26.4,18.28,23.58,28.5,16.46,3.8199999999999994,3.8199999999999994,0.0,13.4,84.8,20.74,36.44,10.236,1013.6,77.2,18.94,0.0,2.262,21.2017,106.1543,6.892,10.842,12,52,53,66,1970-01-21 10:42:37.752,1970-01-21 10:43:16.788,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-25,17.1,19.58,14.18,14.06,16.580000000000002,10.84,1.94,1.94,0.0,4.4,58.4,27.08,47.02,6.318,1020.42,98.0,8.440000000000001,0.0,2.836,21.2017,106.1543,2.1399999999999997,10.848,12,52,53,27,1970-01-21 10:44:04.176,1970-01-21 10:44:43.212,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-26,15.8,19.82,12.2,13.84,18.56,9.66,0.0,0.0,0.0,0.0,52.4,13.2,26.639999999999997,15.91,1020.82,16.2,5.82,0.0,3.158,21.2017,106.1543,10.002,10.848,12,52,3,61,1970-01-21 10:45:30.600,1970-01-21 10:46:09.648,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-27,15.6,20.02,11.78,14.38,19.1,9.76,0.0,0.0,0.0,0.0,63.2,11.24,22.7,14.106,1020.06,27.2,8.28,0.0,2.54,21.2017,106.1543,9.886,10.85,12,52,2,16,1970-01-21 10:46:57.036,1970-01-21 10:47:36.084,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-28,17.6,21.52,12.9,17.4,21.34,12.26,0.0,0.0,0.0,0.0,67.8,8.040000000000001,15.54,10.174,1018.8,84.2,11.34,0.0,1.998,21.2017,106.1543,5.156000000000001,10.852,12,52,3,16,1970-01-21 10:48:23.448,1970-01-21 10:49:02.520,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-29,19.6,22.66,16.94,19.94,22.8,17.52,0.18,0.18,0.0,1.8,74.2,12.76,24.76,7.662000000000001,1015.82,90.8,14.74,0.0,1.876,21.2017,106.1543,3.158,10.858,12,1,51,131,1970-01-21 10:49:49.872,1970-01-21 10:50:28.956,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-30,20.16,23.46,17.46,20.84,23.479999999999997,18.9,0.76,0.76,0.0,5.0,78.4,14.52,29.18,9.302,1014.74,84.8,16.119999999999997,0.0,2.148,21.2017,106.1543,7.078,10.86,12,1,51,121,1970-01-21 10:51:16.308,1970-01-21 10:51:55.392,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-31,20.3,23.9,17.54,20.9,23.98,18.52,0.4,0.4,0.0,3.8,81.4,18.02,33.4,7.964,1012.0,82.0,16.839999999999996,0.0,2.018,21.2017,106.1543,4.404,10.862,12,1,51,130,1970-01-21 10:52:42.720,1970-01-21 10:53:21.828,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2026-01-01,18.9,22.54,15.9,19.54,24.36,13.9,15.4,15.4,0.0,16.2,87.0,20.72,36.64,7.132,1016.04,87.2,16.64,0.0,1.546,21.2017,106.1543,3.972,10.868,1,1,63,63,1970-01-21 10:54:09.132,1970-01-21 10:54:48.264,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2026-01-02,15.78,17.54,13.8,13.82,15.76,11.86,0.8400000000000001,0.8400000000000001,0.0,3.0,70.0,17.240000000000002,31.82,5.532,1022.4,97.8,10.22,0.0,1.8560000000000003,21.2017,106.1543,0.336,10.872,1,1,51,25,1970-01-21 10:55:35.556,1970-01-21 10:56:14.700,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2026-01-03,15.86,18.92,13.38,14.580000000000002,18.34,11.42,0.0,0.0,0.0,0.0,67.6,14.18,28.0,8.352,1022.66,94.0,9.76,0.0,1.988,21.2017,106.1543,3.014,10.88,1,1,3,67,1970-01-21 10:57:01.968,1970-01-21 10:57:41.136,Đông,,,
