province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hưng Yên,Đồng bằng sông Hồng,2025-12-06,20.18,24.28,17.3,21.04,24.9,18.2,0.0,0.0,0.0,0.0,76.6,12.34,23.32,11.57,1019.04,58.2,15.66,0.0,2.436,20.5482,106.1955,6.886,10.938,12,49,3,67,1970-01-21 10:16:41.868,1970-01-21 10:17:21.228,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-07,20.880000000000003,25.36,17.619999999999997,22.7,26.839999999999996,19.46,0.54,0.54,0.0,4.0,84.8,13.74,27.22,12.242,1018.56,41.2,18.04,0.0,2.4379999999999997,20.5482,106.1955,9.034,10.93,12,49,51,84,1970-01-21 10:18:08.292,1970-01-21 10:18:47.652,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-08,21.08,25.639999999999997,18.06,22.119999999999997,26.2,19.02,0.08,0.08,0.0,0.6,76.0,13.84,27.160000000000004,14.136,1019.98,35.0,16.28,0.0,2.848,20.5482,106.1955,10.038,10.922,12,50,51,12,1970-01-21 10:19:34.740,1970-01-21 10:20:14.052,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-09,20.2,25.880000000000003,15.78,21.02,25.860000000000003,16.759999999999998,0.12,0.12,0.0,1.0,76.8,13.94,26.7,13.54,1018.88,39.8,15.44,0.0,2.8280000000000003,20.5482,106.1955,9.976,10.918,12,50,51,66,1970-01-21 10:21:01.164,1970-01-21 10:21:40.476,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-10,20.82,26.2,16.02,22.119999999999997,27.139999999999997,17.3,0.0,0.0,0.0,0.0,78.4,14.34,26.139999999999997,13.378,1017.84,46.8,16.48,0.0,2.746,20.5482,106.1955,9.472,10.912,12,50,3,53,1970-01-21 10:22:27.612,1970-01-21 10:23:06.888,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-11,21.16,22.92,19.92,22.92,23.96,21.98,0.32,0.32,0.0,1.8,79.2,11.36,23.119999999999997,4.544,1017.8,97.4,17.380000000000003,0.0,1.2280000000000002,20.5482,106.1955,0.432,10.908,12,50,51,2,1970-01-21 10:23:54.048,1970-01-21 10:24:33.312,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-12,21.9,24.94,19.66,24.52,27.58,22.1,0.8600000000000001,0.8600000000000001,0.0,3.0,83.8,10.12,18.84,7.314,1015.58,79.4,18.96,0.0,1.566,20.5482,106.1955,2.282,10.902,12,50,51,92,1970-01-21 10:25:20.472,1970-01-21 10:25:59.724,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-13,20.52,23.52,16.220000000000002,22.22,27.08,15.04,29.7,29.7,0.0,20.2,91.8,24.76,46.1,3.96,1018.4,97.2,19.06,0.0,1.004,20.5482,106.1955,0.7060000000000001,10.9,12,50,65,6,1970-01-21 10:26:46.908,1970-01-21 10:27:26.148,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-14,16.86,19.34,15.080000000000002,15.72,18.48,13.8,2.08,2.08,0.0,5.8,66.4,14.4,27.94,7.696000000000001,1022.34,74.4,10.32,0.0,1.984,20.5482,106.1955,4.098,10.898,12,50,51,18,1970-01-21 10:28:13.344,1970-01-21 10:28:52.572,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-15,18.44,21.7,15.580000000000002,18.24,22.1,14.66,0.0,0.0,0.0,0.0,69.4,10.94,21.06,9.188,1019.58,70.2,12.58,0.0,2.0620000000000003,20.5482,106.1955,4.604,10.892,12,51,3,55,1970-01-21 10:29:39.780,1970-01-21 10:30:18.984,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-16,19.62,23.0,16.02,20.96,24.66,17.02,0.04,0.04,0.0,0.4,81.8,9.24,18.78,7.95,1018.22,82.8,16.3,0.0,1.656,20.5482,106.1955,3.074,10.89,12,51,3,19,1970-01-21 10:31:06.204,1970-01-21 10:31:45.420,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-17,20.380000000000003,24.4,18.339999999999996,22.06,25.74,19.78,6.34,6.34,0.0,14.6,86.8,12.5,26.78,9.553999999999998,1020.2,79.6,17.96,0.0,1.874,20.5482,106.1955,6.401999999999999,10.888,12,51,61,14,1970-01-21 10:32:32.640,1970-01-21 10:33:11.832,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-18,20.2,25.28,16.52,21.1,26.82,17.0,0.0,0.0,0.0,0.0,77.8,11.78,22.92,15.25,1018.72,15.6,15.76,0.0,2.96,20.5482,106.1955,10.008,10.888,12,51,3,3,1970-01-21 10:33:59.076,1970-01-21 10:34:38.268,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-19,20.08,26.46,15.06,21.619999999999997,27.44,16.36,0.08,0.08,0.0,0.6,84.4,15.8,29.8,13.872,1014.92,31.6,16.86,0.0,2.698,20.5482,106.1955,9.49,10.888,12,51,3,108,1970-01-21 10:35:25.512,1970-01-21 10:36:04.692,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-20,21.380000000000003,25.2,18.7,23.76,27.380000000000003,21.26,1.16,1.16,0.0,7.0,87.4,11.34,23.02,11.806,1015.54,56.6,18.96,0.0,2.2920000000000003,20.5482,106.1955,8.32,10.882,12,51,51,78,1970-01-21 10:36:51.948,1970-01-21 10:37:31.128,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-21,21.36,25.880000000000003,18.28,23.32,27.98,19.58,0.74,0.74,0.0,3.8,83.4,14.4,28.22,12.062,1017.48,40.4,18.16,0.0,2.35,20.5482,106.1955,9.166,10.882,12,51,51,2,1970-01-21 10:38:18.372,1970-01-21 10:38:57.552,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-22,21.52,25.28,18.72,23.18,26.3,20.36,1.52,1.52,0.0,7.2,83.6,17.28,34.339999999999996,12.312,1015.52,36.6,18.44,0.0,2.492,20.5482,106.1955,9.884,10.882,12,52,51,99,1970-01-21 10:39:44.808,1970-01-21 10:40:23.988,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-23,22.22,26.58,19.72,24.48,28.42,22.1,0.62,0.62,0.0,2.8,85.8,15.5,31.24,11.442,1014.1,51.6,19.5,0.0,2.384,20.5482,106.1955,8.896,10.882,12,52,51,142,1970-01-21 10:41:11.232,1970-01-21 10:41:50.412,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-24,22.6,26.839999999999996,19.92,25.14,29.28,22.22,1.24,1.24,0.0,7.2,86.6,14.84,29.96,12.796,1013.3,63.0,20.02,0.0,2.5780000000000003,20.5482,106.1955,9.508,10.888,12,52,51,101,1970-01-21 10:42:37.668,1970-01-21 10:43:16.848,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-25,17.56,20.26,15.26,15.56,21.380000000000003,12.22,2.56,2.56,0.0,8.4,66.0,21.96,41.54,6.566,1019.86,94.6,10.74,0.0,2.338,20.5482,106.1955,3.64,10.888,12,52,51,15,1970-01-21 10:44:04.092,1970-01-21 10:44:43.272,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-26,16.5,20.42,13.8,14.54,19.380000000000003,11.36,0.0,0.0,0.0,0.0,53.0,13.68,26.42,16.234,1020.7,26.6,6.6,0.0,3.398000000000001,20.5482,106.1955,10.0,10.888,12,52,3,40,1970-01-21 10:45:30.516,1970-01-21 10:46:09.720,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-27,16.36,20.92,12.76,15.32,20.2,11.26,0.0,0.0,0.0,0.0,66.4,11.94,25.0,14.196000000000002,1019.78,32.2,9.66,0.0,2.634,20.5482,106.1955,9.492,10.89,12,52,3,16,1970-01-21 10:46:56.940,1970-01-21 10:47:36.144,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-28,17.759999999999998,21.76,13.74,17.619999999999997,21.64,13.36,0.0,0.0,0.0,0.0,70.2,8.02,18.58,9.242,1018.7,70.2,12.04,0.0,1.916,20.5482,106.1955,4.0120000000000005,10.892,12,52,3,20,1970-01-21 10:48:23.364,1970-01-21 10:49:02.592,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-29,19.22,23.36,15.12,19.76,23.74,15.74,0.06,0.06,0.0,0.6,77.8,12.98,25.860000000000003,8.822,1015.78,59.8,15.04,0.0,2.002,20.5482,106.1955,4.601999999999999,10.898,12,1,51,104,1970-01-21 10:49:49.788,1970-01-21 10:50:29.016,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-30,20.58,24.52,17.96,21.5,24.58,19.44,0.58,0.58,0.0,4.0,79.2,14.28,28.96,10.408,1014.68,69.8,16.6,0.0,2.302,20.5482,106.1955,8.294,10.9,12,1,51,106,1970-01-21 10:51:16.212,1970-01-21 10:51:55.452,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-31,20.52,24.32,17.619999999999997,21.9,25.1,19.26,1.2399999999999998,1.2399999999999998,0.0,7.4,85.6,15.6,30.96,10.428,1012.0,80.4,17.880000000000003,0.0,2.142,20.5482,106.1955,8.684000000000001,10.902,12,1,51,122,1970-01-21 10:52:42.636,1970-01-21 10:53:21.888,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-01,20.46,24.38,18.28,21.78,25.94,18.32,5.2,5.2,0.0,12.8,85.2,15.580000000000002,29.44,9.258,1015.58,83.4,17.740000000000002,0.0,1.918,20.5482,106.1955,7.744,10.91,1,1,53,92,1970-01-21 10:54:09.060,1970-01-21 10:54:48.324,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-02,17.5,19.2,15.1,16.48,18.380000000000003,14.22,0.18,0.18,0.0,1.8,72.4,16.9,32.46,4.71,1021.74,97.0,12.44,0.0,1.67,20.5482,106.1955,0.0699999999999999,10.912,1,1,51,15,1970-01-21 10:55:35.472,1970-01-21 10:56:14.760,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-03,16.72,19.44,14.38,15.419999999999998,18.02,12.34,0.0,0.0,0.0,0.0,70.6,15.44,30.96,8.065999999999999,1022.3,82.8,11.239999999999998,0.0,2.066,20.5482,106.1955,3.532,10.92,1,1,3,61,1970-01-21 10:57:01.884,1970-01-21 10:57:41.196,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-04,17.919999999999998,21.92,14.72,18.5,22.8,14.86,1.98,1.98,0.0,6.8,84.0,12.42,26.56,8.762,1019.74,85.8,15.14,0.0,1.716,20.5482,106.1955,5.7299999999999995,10.928,1,1,51,46,1970-01-21 10:58:28.308,1970-01-21 10:59:07.632,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-05,17.240000000000002,20.44,13.88,16.619999999999997,19.56,12.34,0.1,0.1,0.0,1.0,78.2,16.46,32.78,6.540000000000001,1021.34,82.8,13.2,0.0,1.718,20.5482,106.1955,1.802,10.93,1,2,51,21,1970-01-21 10:59:54.720,1970-01-21 11:00:34.068,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-06,14.22,15.64,12.12,11.7,12.919999999999998,10.38,0.0,0.0,0.0,0.0,65.2,18.18,35.58,6.208,1025.76,83.2,7.76,0.0,1.964,20.5482,106.1955,1.292,10.938,1,2,3,357,1970-01-21 11:01:21.132,1970-01-21 11:02:00.504,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-07,14.36,19.7,10.06,12.5,18.26,8.34,0.0,0.0,0.0,0.0,63.4,13.68,29.3,16.788,1026.12,4.8,6.76,0.0,2.986,20.5482,106.1955,10.004,10.948,1,2,0,7,1970-01-21 11:02:47.544,1970-01-21 11:03:26.952,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-08,14.54,20.58,9.62,12.82,18.8,7.640000000000001,0.0,0.0,0.0,0.0,62.2,12.16,27.06,17.124000000000002,1025.94,20.0,6.5200000000000005,0.0,3.026,20.5482,106.1955,10.004,10.952,1,2,3,6,1970-01-21 11:04:13.956,1970-01-21 11:04:53.388,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-09,15.2,21.58,9.76,13.94,20.24,8.48,0.0,0.0,0.0,0.0,65.2,11.68,22.1,17.156,1022.74,57.6,7.720000000000001,0.0,3.064,20.5482,106.1955,10.026,10.96,1,2,3,76,1970-01-21 11:05:40.368,1970-01-21 11:06:19.824,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-10,15.74,22.9,10.1,15.26,22.14,9.48,0.0,0.0,0.0,0.0,75.0,13.76,28.52,16.363999999999997,1020.66,23.8,10.54,0.0,2.972,20.5482,106.1955,9.74,10.97,1,2,3,82,1970-01-21 11:07:06.780,1970-01-21 11:07:46.272,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-11,16.54,23.24,12.0,15.64,22.479999999999997,11.04,0.0,0.0,0.0,0.0,69.6,13.46,26.44,17.066,1022.94,28.2,10.0,0.0,3.228,20.5482,106.1955,10.06,10.98,1,2,3,0,1970-01-21 11:08:33.180,1970-01-21 11:09:12.708,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-12,17.52,24.14,12.16,17.56,23.84,12.2,0.0,0.0,0.0,0.0,75.6,15.88,30.620000000000005,13.6,1020.38,33.0,12.52,0.0,2.678,20.5482,106.1955,9.524,10.99,1,3,3,109,1970-01-21 11:09:59.592,1970-01-21 11:10:39.144,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-13,18.14,24.56,13.88,18.18,24.74,13.580000000000002,0.0,0.0,0.0,0.0,75.2,13.34,26.42,16.580000000000002,1019.2,5.0,12.96,0.0,3.0780000000000003,20.5482,106.1955,10.062,11.0,1,3,0,0,1970-01-21 11:11:25.992,1970-01-21 11:12:05.592,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-14,18.68,24.6,13.64,19.26,24.7,14.32,0.08,0.08,0.0,0.8,80.6,15.18,29.52,11.76,1016.06,37.0,14.78,0.0,2.4579999999999997,20.5482,106.1955,7.997999999999999,11.01,1,3,51,127,1970-01-21 11:12:52.392,1970-01-21 11:13:32.028,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-15,19.48,23.08,16.6,20.92,24.42,17.82,0.6799999999999999,0.6799999999999999,0.0,3.4,86.2,10.4,22.54,7.424,1015.98,60.6,16.9,0.0,1.606,20.5482,106.1955,3.762000000000001,11.02,1,3,51,98,1970-01-21 11:14:18.804,1970-01-21 11:14:58.464,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-16,20.94,26.1,17.18,22.380000000000003,26.44,18.98,0.36,0.36,0.0,2.8,84.0,15.760000000000002,32.6,10.692,1012.7,62.2,17.76,0.0,2.408,20.5482,106.1955,6.962000000000001,11.03,1,3,51,161,1970-01-21 11:15:45.204,1970-01-21 11:16:24.912,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-17,20.06,23.36,17.86,21.92,25.24,19.8,3.4,3.4,0.0,8.4,91.0,14.06,28.159999999999997,6.006,1012.22,77.2,18.46,0.0,1.278,20.5482,106.1955,2.288,11.04,1,3,61,98,1970-01-21 11:17:11.604,1970-01-21 11:17:51.360,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-18,20.78,25.26,17.9,22.56,27.08,19.880000000000003,1.3199999999999998,1.3199999999999998,0.0,6.2,86.8,15.72,30.9,11.984,1011.54,72.2,18.32,0.0,2.3760000000000003,20.5482,106.1955,8.501999999999999,11.05,1,3,51,119,1970-01-21 11:18:38.004,1970-01-21 11:19:17.784,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-19,21.119999999999997,25.639999999999997,17.860000000000003,22.6,26.1,19.86,0.76,0.76,0.0,4.4,85.6,17.86,35.44,11.316,1012.12,64.8,18.32,0.0,2.434,20.5482,106.1955,7.758,11.06,1,4,51,138,1970-01-21 11:20:04.404,1970-01-21 11:20:44.232,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-20,21.4,25.08,19.0,23.26,26.339999999999996,21.160000000000004,2.74,2.74,0.0,11.0,87.4,17.68,34.92,11.146,1014.48,65.8,19.06,0.0,2.252,20.5482,106.1955,8.129999999999999,11.072,1,4,53,124,1970-01-21 11:21:30.804,1970-01-21 11:22:10.680,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-21,18.0,20.28,14.78,17.32,21.84,13.44,2.96,2.96,0.0,9.8,79.4,24.02,45.3,5.59,1018.88,89.4,14.36,0.0,1.618,20.5482,106.1955,1.944,11.09,1,4,51,66,1970-01-21 11:22:57.192,1970-01-21 11:23:37.104,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-22,12.0,14.28,10.76,9.52,12.94,8.08,1.28,1.28,0.0,6.0,74.4,16.52,32.839999999999996,4.843999999999999,1023.9,100.0,7.6,0.0,1.31,20.5482,106.1955,0.258,11.1,1,4,51,359,1970-01-21 11:24:23.592,1970-01-21 11:25:03.552,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-23,13.26,17.68,9.86,11.74,17.240000000000002,7.38,0.1,0.1,0.0,1.0,73.2,12.44,22.54,10.52,1024.22,94.8,8.459999999999999,0.0,1.952,20.5482,106.1955,3.982,11.11,1,4,51,5,1970-01-21 11:25:49.980,1970-01-21 11:26:29.988,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-24,14.78,17.380000000000003,12.66,14.18,17.46,11.22,0.08,0.08,0.0,0.8,79.6,10.76,20.06,6.266,1021.9,97.0,11.24,0.0,1.2879999999999998,20.5482,106.1955,0.2779999999999999,11.122,1,4,51,18,1970-01-21 11:27:16.380,1970-01-21 11:27:56.424,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-25,18.28,23.46,14.36,18.96,23.18,14.9,0.4,0.4,0.0,3.2,84.6,17.28,34.82,10.626,1017.46,68.2,15.419999999999998,0.0,2.1239999999999997,20.5482,106.1955,6.093999999999999,11.14,1,4,51,146,1970-01-21 11:28:42.768,1970-01-21 11:29:22.860,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-26,19.44,23.26,16.22,21.1,25.14,17.84,2.76,2.76,0.0,12.4,88.8,12.5,25.36,9.51,1019.08,68.0,17.439999999999998,0.0,1.858,20.5482,106.1955,5.934,11.15,1,5,53,96,1970-01-21 11:30:09.144,1970-01-21 11:30:49.308,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-27,19.72,24.3,16.380000000000003,20.880000000000003,25.16,17.259999999999998,0.0,0.0,0.0,0.0,82.0,12.22,24.76,13.214,1019.8,57.8,16.2,0.0,2.624,20.5482,106.1955,8.144,11.17,1,5,3,84,1970-01-21 11:31:35.532,1970-01-21 11:32:15.732,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-28,18.68,24.1,14.76,19.18,24.6,15.76,0.0,0.0,0.0,0.0,80.0,14.7,30.8,16.764,1019.78,16.0,14.74,0.0,3.164,20.5482,106.1955,10.292,11.18,1,5,3,93,1970-01-21 11:33:01.920,1970-01-21 11:33:42.180,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-29,19.94,25.16,15.52,20.86,24.78,16.52,0.36,0.36,0.0,3.0,85.4,19.14,37.44,10.89,1016.84,60.2,17.119999999999997,0.0,2.3619999999999997,20.5482,106.1955,6.656000000000001,11.2,1,5,51,165,1970-01-21 11:34:28.320,1970-01-21 11:35:08.604,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-30,21.14,25.72,17.9,22.72,26.8,19.78,1.2,1.2,0.0,6.8,85.2,17.46,35.279999999999994,14.834,1017.3,46.6,18.32,0.0,2.912,20.5482,106.1955,9.4,11.21,1,5,51,137,1970-01-21 11:35:54.684,1970-01-21 11:36:35.052,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-01-31,19.7,22.96,16.86,20.58,23.380000000000003,17.46,0.2599999999999999,0.2599999999999999,0.0,1.6,82.8,16.28,32.120000000000005,9.916,1020.5,79.6,16.46,0.0,2.062,20.5482,106.1955,4.8260000000000005,11.23,1,5,51,66,1970-01-21 11:37:21.072,1970-01-21 11:38:01.488,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-02-01,18.119999999999997,21.78,15.3,17.8,21.48,15.419999999999998,0.02,0.02,0.0,0.2,72.8,12.02,23.8,9.666,1022.1,67.2,13.0,0.0,2.164,20.5482,106.1955,5.51,11.24,2,5,3,77,1970-01-21 11:38:47.460,1970-01-21 11:39:27.912,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2026-02-02,17.28,21.14,14.0,16.7,20.64,13.4,0.04,0.04,0.0,0.4,71.6,11.5,23.46,9.086,1023.78,63.6,11.88,0.0,2.0420000000000003,20.5482,106.1955,4.678,11.26,2,6,3,3,1970-01-21 11:40:13.824,1970-01-21 11:40:54.360,Đông,,,
